Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
Q99MA2	Rattus norvegicus	Metazoa	674	22.0	1		2
P17948	Homo sapiens	Metazoa	1338	26.0	1		4
P41271	Homo sapiens	Metazoa	181	16.0	1		1
E0XKJ9	Tabanus yao	Metazoa	349	25.0	1		2
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25.0	1		4
O18994	Sus scrofa	Metazoa	219	21.0	1		0
Q16552	Homo sapiens	Metazoa	155	23.0	1		1
Q5XM24	Dictyostelium discoideum	Other	494	18.0	1		1
Q00802	Bombyx mori	Metazoa	256	17.0	1		3
P62520	Chilobrachys guangxiensis	Metazoa	63	27.0	1		2
Q00945	Lymnaea stagnalis	Metazoa	155	26.0	1		0
Q95P08	Scutigera coleoptrata	Metazoa	656	18.0	1		2
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18.0	1		1
P56201	Oryctolagus cuniculus	Metazoa	797	24.0	1		4
P27731	Gallus gallus	Metazoa	150	20.0	1		4
Q03383	Bombyx mori	Metazoa	400	16.0	1		2
O88188	Mus musculus	Metazoa	162	19.0	1		3
Q9TVX3	Olivierus martensii	Metazoa	61	28.0	1		3
P81264	Bos taurus	Metazoa	98	22.0	1		1
A1BQQ5	Conus marmoreus	Metazoa	289	24.0	1		2
Q6UXD5	Homo sapiens	Metazoa	910	27.0	1		4
P61916	Homo sapiens	Metazoa	151	19.0	1		4
Q86T13	Homo sapiens	Metazoa	490	21.0	1		2
P05067	Homo sapiens	Metazoa	770	17.0	1		0
P28906	Homo sapiens	Metazoa	385	31.0	1		1
P13917	Glycine max	Viridiplantae	427	24.0	1		0
P14630	Rattus norvegicus	Metazoa	190	17.0	1		3
P19427	Bos taurus	Metazoa	201	18.0	1		4
Q13433	Homo sapiens	Metazoa	755	28.0	1		1
P33681	Homo sapiens	Metazoa	288	34.0	1		0
Q91XZ4	Mus musculus	Metazoa	772	28.0	1		0
Q05443	Bos taurus	Metazoa	342	18.0	1		0
P80356	Avena sativa	Viridiplantae	220	19.0	1		4
Q92563	Homo sapiens	Metazoa	424	22.0	1		0
O60844	Homo sapiens	Metazoa	167	16.0	1		4
P42256	Aspergillus niger	Fungi	321	19.0	1		4
P0DPU8	Scolopendra dehaani	Metazoa	105	24.0	1		3
P04119	Sus scrofa	Metazoa	178	18.0	1		3
Q8N766	Homo sapiens	Metazoa	993	22.0	1		2
P01364	Aplysia californica	Metazoa	108	23.0	1		0
Q9H293	Homo sapiens	Metazoa	177	32.0	1		4
P81492	Hirudinaria manillensis	Metazoa	84	20.0	1		1
Q5G8A6	Tityus costatus	Metazoa	87	19.0	1		2
P0DUS6	Doratifera vulnerans	Metazoa	60	24.0	1		2
Q00017	Aspergillus aculeatus	Fungi	250	17.0	1		0
Q9Y240	Homo sapiens	Metazoa	323	21.0	1		3
P29421	Oryza sativa subsp. japonica	Viridiplantae	200	22.0	1		2
P0DL37	Urodacus yaschenkoi	Metazoa	62	24.0	1		4
Q62867	Rattus norvegicus	Metazoa	317	24.0	1		3
Q969J5	Homo sapiens	Metazoa	263	21.0	1		0
Q7SZI7	Xenopus laevis	Metazoa	1219	22.0	1		2
P80109	Bos taurus	Metazoa	839	23.0	1		1
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18.0	1		4
P07712	Aplysia californica	Metazoa	112	23.0	1		3
Q9U8D1	Olivierus martensii	Metazoa	56	28.0	1		0
P49259	Bos taurus	Metazoa	1463	20.0	1		1
Q6X4U4	Homo sapiens	Metazoa	206	23.0	1		1
P0DKU2	Pandinus imperator	Metazoa	145	15.0	1		2
Q00193	Oryctolagus cuniculus	Metazoa	540	24.0	1		4
C4NZN9	Hyas araneus	Metazoa	131	16.0	1		2
P25116	Homo sapiens	Metazoa	425	21.0	1		1
P98066	Homo sapiens	Metazoa	277	17.0	1		1
Q9GSA4	Galleria mellonella	Metazoa	113	19.0	1		4
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24.0	1		0
Q9P0V8	Homo sapiens	Metazoa	285	22.0	1		4
Q96DU3	Homo sapiens	Metazoa	332	21.0	1		0
P81054	Grifola frondosa	Fungi	348	18.0	1		0
Q8WPJ2	Mytilus edulis	Metazoa	367	17.0	1		0
Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	1		2
Q9UIK5	Homo sapiens	Metazoa	374	40.0	1		1
P18761	Mus musculus	Metazoa	317	17.0	1		0
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28.0	1		4
P0C1X6	Tityus discrepans	Metazoa	62	26.0	1		0
P01500	Apis mellifera	Metazoa	46	27.0	1		1
Q9U8X3	Tachypleus tridentatus	Metazoa	67	23.0	1		1
Q28862	Bos taurus	Metazoa	310	16.0	1		2
Q61508	Mus musculus	Metazoa	559	19.0	1		0
Q6UWY5	Homo sapiens	Metazoa	402	28.0	1		0
Q62192	Mus musculus	Metazoa	661	20.0	1		0
P0DQC1	Scolopendra dehaani	Metazoa	92	20.0	1		1
P0DSJ6	Myrmecia gulosa	Metazoa	62	24.0	1		4
P15247	Mus musculus	Metazoa	144	18.0	1		0
P34998	Homo sapiens	Metazoa	415	23.0	1		0
P52706	Prunus serotina	Viridiplantae	563	27.0	1		1
O80323	Pyrus pyrifolia	Viridiplantae	222	22.0	1		0
Q9UHF4	Homo sapiens	Metazoa	553	29.0	1		4
I3LGZ3	Sus scrofa	Metazoa	81	24.0	1		0
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	1		4
Q9TW32	Dictyostelium discoideum	Other	197	22.0	1		2
Q4V645	Drosophila melanogaster	Metazoa	108	29.0	1		2
Q924B5	Rattus norvegicus	Metazoa	250	25.0	1		1
P07439	Megabalanus rosa	Metazoa	162	24.0	1		4
Q9Y2I2	Homo sapiens	Metazoa	539	28.0	1		2
P11150	Homo sapiens	Metazoa	499	22.0	1		2
Q9Y251	Homo sapiens	Metazoa	543	35.0	1		2
P26780	Sinapis alba	Viridiplantae	99	30.0	1		4
P55057	Oryctolagus cuniculus	Metazoa	124	27.0	1		0
Q9Z0M9	Mus musculus	Metazoa	193	28.0	1		0
P25236	Rattus norvegicus	Metazoa	385	19.0	1		4
P34115	Dictyostelium discoideum	Other	730	20.0	1		4
P36897	Homo sapiens	Metazoa	503	33.0	1		2
