Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
P01579	Homo sapiens	Metazoa	166	23.0	
P07359	Homo sapiens	Metazoa	652	16.0	
P13671	Homo sapiens	Metazoa	934	21.0	
P21128	Homo sapiens	Metazoa	410	18.0	
P28039	Homo sapiens	Metazoa	575	23.0	
P50895	Homo sapiens	Metazoa	628	31.0	
Q01151	Homo sapiens	Metazoa	205	19.0	
Q02747	Homo sapiens	Metazoa	115	21.0	
Q03405	Homo sapiens	Metazoa	335	22.0	
Q16627	Homo sapiens	Metazoa	93	19.0	
Q86YD3	Homo sapiens	Metazoa	366	26.0	
O14625	Homo sapiens	Metazoa	94	21.0	
O15455	Homo sapiens	Metazoa	904	23.0	
P19801	Homo sapiens	Metazoa	751	19.0	
P31358	Homo sapiens	Metazoa	61	24.0	
P36980	Homo sapiens	Metazoa	270	18.0	
P55058	Homo sapiens	Metazoa	493	17.0	
Q13421	Homo sapiens	Metazoa	630	36.0	
Q6UWI2	Homo sapiens	Metazoa	310	20.0	
Q9GZZ8	Homo sapiens	Metazoa	138	19.0	
O95866	Homo sapiens	Metazoa	241	17.0	
P05090	Homo sapiens	Metazoa	189	20.0	
P06727	Homo sapiens	Metazoa	396	20.0	
P13598	Homo sapiens	Metazoa	275	24.0	
P15516	Homo sapiens	Metazoa	51	19.0	
Q6UXL0	Homo sapiens	Metazoa	311	29.0	
Q86Y78	Homo sapiens	Metazoa	171	22.0	
Q8N4F0	Homo sapiens	Metazoa	458	20.0	
Q96HF1	Homo sapiens	Metazoa	295	24.0	
Q9NPG1	Homo sapiens	Metazoa	666	22.0	
P07602	Homo sapiens	Metazoa	524	16.0	
P08514	Homo sapiens	Metazoa	1039	31.0	
P29320	Homo sapiens	Metazoa	983	20.0	
P29459	Homo sapiens	Metazoa	219	22.0	
P54803	Homo sapiens	Metazoa	685	42.0	
P56202	Homo sapiens	Metazoa	376	21.0	
Q8TD06	Homo sapiens	Metazoa	166	21.0	
Q8TDQ1	Homo sapiens	Metazoa	290	19.0	
Q96LA5	Homo sapiens	Metazoa	508	19.0	
Q9H5V8	Homo sapiens	Metazoa	836	29.0	
Q9NQ25	Homo sapiens	Metazoa	335	22.0	
Q9NRM6	Homo sapiens	Metazoa	502	17.0	
Q9UBN6	Homo sapiens	Metazoa	386	55.0	
Q9UNE0	Homo sapiens	Metazoa	448	26.0	
O00206	Homo sapiens	Metazoa	839	23.0	
P01350	Homo sapiens	Metazoa	101	21.0	
P09486	Homo sapiens	Metazoa	303	17.0	
P19320	Homo sapiens	Metazoa	739	24.0	
P22894	Homo sapiens	Metazoa	467	20.0	
P55083	Homo sapiens	Metazoa	255	21.0	
Q13445	Homo sapiens	Metazoa	227	23.0	
Q6UXB2	Homo sapiens	Metazoa	119	21.0	
Q96BY9	Homo sapiens	Metazoa	339	30.0	
P10493	Mus musculus	Metazoa	1245	28.0	
P12024	Drosophila melanogaster	Metazoa	1315	29.0	
Q01965	Mus musculus	Metazoa	654	47.0	
Q7TQN3	Mus musculus	Metazoa	571	29.0	
Q8BPM6	Mus musculus	Metazoa	367	31.0	
Q8T1G4	Dictyostelium discoideum	Other	181	19.0	
Q9D6Y1	Mus musculus	Metazoa	273	21.0	
P16382	Mus musculus	Metazoa	810	25.0	
Q8C1Q4	Mus musculus	Metazoa	291	21.0	
Q9SU40	Arabidopsis thaliana	Viridiplantae	587	20.0	
O35310	Mus musculus	Metazoa	311	20.0	
O88917	Rattus norvegicus	Metazoa	1515	24.0	
P06332	Mus musculus	Metazoa	457	26.0	
P07727	Rattus norvegicus	Metazoa	457	28.0	
P11590	Mus musculus	Metazoa	178	16.0	
P19137	Mus musculus	Metazoa	3083	24.0	
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19.0	
P28798	Mus musculus	Metazoa	589	17.0	
P51868	Rattus norvegicus	Metazoa	413	19.0	
Q05928	Mus musculus	Metazoa	177	31.0	
Q6QD51	Rattus norvegicus	Metazoa	949	27.0	
Q9ERQ6	Rattus norvegicus	Metazoa	571	30.0	
