Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q99MA2	Rattus norvegicus	Metazoa	674	22.0	
P17948	Homo sapiens	Metazoa	1338	26.0	
P41271	Homo sapiens	Metazoa	181	16.0	
E0XKJ9	Tabanus yao	Metazoa	349	25.0	
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25.0	
O18994	Sus scrofa	Metazoa	219	21.0	
Q16552	Homo sapiens	Metazoa	155	23.0	
Q5XM24	Dictyostelium discoideum	Other	494	18.0	
Q00802	Bombyx mori	Metazoa	256	17.0	
P62520	Chilobrachys guangxiensis	Metazoa	63	27.0	
Q00945	Lymnaea stagnalis	Metazoa	155	26.0	
Q95P08	Scutigera coleoptrata	Metazoa	656	18.0	
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18.0	
P56201	Oryctolagus cuniculus	Metazoa	797	24.0	
P27731	Gallus gallus	Metazoa	150	20.0	
Q03383	Bombyx mori	Metazoa	400	16.0	
O88188	Mus musculus	Metazoa	162	19.0	
Q9TVX3	Olivierus martensii	Metazoa	61	28.0	
P81264	Bos taurus	Metazoa	98	22.0	
A1BQQ5	Conus marmoreus	Metazoa	289	24.0	
Q6UXD5	Homo sapiens	Metazoa	910	27.0	
P61916	Homo sapiens	Metazoa	151	19.0	
Q86T13	Homo sapiens	Metazoa	490	21.0	
P05067	Homo sapiens	Metazoa	770	17.0	
P28906	Homo sapiens	Metazoa	385	31.0	
P13917	Glycine max	Viridiplantae	427	24.0	
P14630	Rattus norvegicus	Metazoa	190	17.0	
P19427	Bos taurus	Metazoa	201	18.0	
Q13433	Homo sapiens	Metazoa	755	28.0	
P33681	Homo sapiens	Metazoa	288	34.0	
Q91XZ4	Mus musculus	Metazoa	772	28.0	
Q05443	Bos taurus	Metazoa	342	18.0	
P80356	Avena sativa	Viridiplantae	220	19.0	
Q92563	Homo sapiens	Metazoa	424	22.0	
O60844	Homo sapiens	Metazoa	167	16.0	
P42256	Aspergillus niger	Fungi	321	19.0	
P0DPU8	Scolopendra dehaani	Metazoa	105	24.0	
P04119	Sus scrofa	Metazoa	178	18.0	
Q8N766	Homo sapiens	Metazoa	993	22.0	
P01364	Aplysia californica	Metazoa	108	23.0	
Q9H293	Homo sapiens	Metazoa	177	32.0	
P81492	Hirudinaria manillensis	Metazoa	84	20.0	
Q5G8A6	Tityus costatus	Metazoa	87	19.0	
P0DUS6	Doratifera vulnerans	Metazoa	60	24.0	
Q00017	Aspergillus aculeatus	Fungi	250	17.0	
Q9Y240	Homo sapiens	Metazoa	323	21.0	
P29421	Oryza sativa subsp. japonica	Viridiplantae	200	22.0	
P0DL37	Urodacus yaschenkoi	Metazoa	62	24.0	
Q62867	Rattus norvegicus	Metazoa	317	24.0	
Q969J5	Homo sapiens	Metazoa	263	21.0	
Q7SZI7	Xenopus laevis	Metazoa	1219	22.0	
P80109	Bos taurus	Metazoa	839	23.0	
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18.0	
P07712	Aplysia californica	Metazoa	112	23.0	
